14D.AX	1414 Degrees Limited
HLIKOP.AX	HLIKOP
HLIKOQ.AX	HLIKOQ
HLO.AX	Helloworld Limited
HLS.AX	Hillcrest Litigation Services Ltd
HLSKOA.AX	Healius Ltd
HLSKOB.AX	Healius Limited
HLSKOF.AX	Healius Ltd
HLSKOQ.AX	Healius Ltd
HLSKOR.AX	Healius Ltd
HLSKOS.AX	Healius Ltd
HLSKOT.AX	Healius Ltd
HLTH.AX	HLTH
HLX.AX	Helix Resources Ltd
HLXO.AX	HLXO
HM1.AX	Hearts And Minds Investments Limited
HMC.AX	Hydromet Corporation Ltd
HMCO.AX	Hydromet Corporation Ltd
HMD.AX	Heramed Limited
HMG.AX	Hamelin Gold Limited
HMI.AX	Harvest Minerals Ltd
HMX.AX	Hammer Metals Limited
HMY.AX	Harmoney Corp Limited
HNDQ.AX	HNDQ
HNG.AX	HGL Ltd
HOR.AX	Horseshoe Metals Limited
HPC.AX	The Hydration Pharmaceuticals Company Limited
HPG.AX	Hipages Group Holdings Ltd
HPI.AX	Hotel Property Investments
HPP.AX	Health And Plant Protein Group Limited
HPR.AX	High Peak Royalties Limited
HQLT.AX	HQLT
HRE.AX	Heavy Rare Earths Limited
HRN.AX	Horizon Gold Limited
HRZ.AX	Horizon Energy Investment Group
HRZO.AX	HRZO
HRZOB.AX	Horizon Minerals Limited
HSN.AX	Hansen Technologies Ltd
HT8.AX	Harris Technology Group Limited
HTA.AX	Hutchison Telecommunications (Aust)
HTG.AX	Harvest Technology Group Ltd
HTM.AX	Heritage Gold NZ Ltd
HTMO.AX	HTMO
HUB.AX	Hub24 Limited
HUBKOA.AX	HUBKOA
HUBKOB.AX	HUBKOB
HUBKOP.AX	HUBKOP
HUM.AX	Humanis Group Limited
HVLU.AX	HVLU
HVN.AX	Harvey Norman Holdings Ltd
HVNKOB.AX	Harvey Norman Holdings Limited
HVNKOC.AX	Harvey Norman Holdings Limited
HVNKOD.AX	Harvey Norman Holdings Limited
HVNKOE.AX	Harvey Norman Holdings Limited
HVNKOQ.AX	Harvey Norman Holdings Limited
HVNKOW.AX	Harvey Norman Holdings Limited
HVST.AX	Betashares Australian Dividend Harvester Fund (man
HVY.AX	Heavy Minerals Limited
HXG.AX	Hexagon Resources Limited
HXL.AX	Hexima Ltd
HYD.AX	Hydrix Limited
HYGG.AX	HYGG
HYT.AX	Hyterra Ltd
HYTO.AX	HYTO
HYTOA.AX	HYTOA
HZN.AX	Horizon Oil Ltd
HZR.AX	Hazer Group Limited
HZRO.AX	Hazer Group Limited
I88.AX	Infini Resources Limited
IAA.AX	Ishares Asia 50
IAF.AX	Ishares Core Composite Bond
IAG.AX	Insurance Australia Group Ltd
IAGKOA.AX	Insurance Australia Group Limited
IAGKOB.AX	Insurance Australia Group Limited
IAGKOD.AX	Insurance Australia Group Limited
IAGKOQ.AX	Insurance Australia Group Limited
IAGKOT.AX	Insurance Australia Group Limited
IAGPE.AX	IAGPE
IAGPF.AX	IAGPF
IAM.AX	Intiger Group Limited
IAMOB.AX	IAMOB
IAMR.AX	IAMR
IBAL.AX	IBAL
IBC.AX	Ironbark Capital Ltd
IBG.AX	Ironbark Gold Ltd
IBGO.AX	Ironbark Zinc Ltd
IBX.AX	Imagion Biosystems Limited
ICE.AX	ICE Corporation Ltd
ICG.AX	Inca Minerals Limited
ICGOD.AX	ICGOD
ICGOE.AX	ICGOE
ICGOF.AX	ICGOF
ICI.AX	Icandy Interactive Limited
ICL.AX	International Coal Holdings Limited
ICLO.AX	ICLO
ICN.AX	Icon Energy Ltd
ICOR.AX	ICOR
ICR.AX	Intelicare Holdings Limited
ICRO.AX	ICRO
ICU.AX	Isentric Limited
ID8.AX	Identitii Limited
ID8O.AX	ID8O
IDA.AX	Indiana Resources Limited
IDT.AX	Institute of Drug Technology Aust
IDX.AX	Indexshares Fund The
IEAT.AX	IEAT
IEC.AX	Intra Energy Corporation Limited
IEL.AX	Idp Education Limited
IELKOB.AX	IELKOB
IELKOP.AX	Idp Education Limited
IELKOQ.AX	Idp Education Limited
IELKOR.AX	IELKOR
IEM.AX	Ishares Msci Emerging Markets
IEQ.AX	International Equities Corp Ltd
IESG.AX	IESG
IEU.AX	Ishares Europe
IFL.AX	IOOF Holdings Ltd
IFLKOA.AX	Ioof Holdings Limited
IFLKOD.AX	Ioof Holdings Limited
IFLKOP.AX	Ioof Holdings Limited
IFLKOQ.AX	Ioof Holdings Limited
IFM.AX	Infomedia Ltd
IFRA.AX	Vaneck Vectors Ftse Global Infrastructure (hedged)
IFT.AX	Infratil Limited.
IG6.AX	International Graphite Limited
IGB.AX	Ishares Treasury
IGL.AX	International Goldfields Ltd
IGN.AX	Ignite Limited
IGO.AX	Independence Group NL
IGOKOA.AX	Independence Group Nl
IGOKOP.AX	Independence Group Nl
IGOKOQ.AX	Independence Group Nl
IGOKOR.AX	Independence Group Nl
IGRO.AX	IGRO
IHCB.AX	Ishares Core Global Corporate Bond (aud Hedged)
IHD.AX	Ishares S&p/asx Dividend Opportunities
IHEB.AX	Ishares J.p. Morgan Usd Emerging Markets Bond (aud
IHOO.AX	Ishares Global 100 Aud Hedged
IHWL.AX	Ishares Core Msci World All Cap (aud Hedged)?
IIGF.AX	IIGF
IIQ.AX	Inoviq Ltd
IIQO.AX	IIQO
IJH.AX	Ishares Core S&p Mid-cap
IJP.AX	Ishares Msci Japan
IJR.AX	Ishares Core S&p Small-cap
IKE.AX	Ikegps Group Limited
IKO.AX	Ishares Msci South Korea Capped
ILA.AX	Island Pharmaceuticals Limited
ILAO.AX	ILAO
ILB.AX	Ishares Government Inflation
ILC.AX	Ishares S&p/asx 20
ILT.AX	Iltani Resources Limited.
ILU.AX	Iluka Resources Ltd
ILUKOE.AX	Iluka Resources Limited
ILUKOF.AX	Iluka Resources Limited
ILUKOG.AX	Iluka Resources Limited
ILUKOP.AX	Iluka Resources Limited
ILUKOQ.AX	Iluka Resources Limited
ILUKOT.AX	Iluka Resources Limited
ILUKOU.AX	Iluka Resources Limited
IMA.AX	Image Resources NL
IMB.AX	Intelligent Monitoring Group Limited
IMC.AX	
IMD.AX	Imdex Ltd
IME.AX	Imexhs Limited
IMI.AX	IM Medical Ltd
IMLC.AX	IMLC
IMM.AX	Immutep Limited
IMPQ.AX	IMPQ
IMR.AX	Imricor Medical Systems Inc.
IMU.AX	Imugene Ltd
IMUOE.AX	IMUOE
INA.AX	Ingenia Communities Group
INCM.AX	Betashares Global Income Leaders
IND.AX	Indus Energy Nl
INF.AX	Infosentials
ING.AX	Inghams Group Limited
INGKOD.AX	INGKOD
INGKOP.AX	Inghams Group Limited
INGKOQ.AX	Inghams Group Limited
INGKOS.AX	INGKOS
INGKOT.AX	INGKOT
INIF.AX	INIF
INP.AX	Innamincka Petroleum Ltd
INR.AX	India Nre Minerals Ltd
INV.AX	InvestorInfo Ltd
IOD.AX	Iodm Limited
ION.AX	ION Ltd
IOO.AX	Ishares Global 100
IOZ.AX	Ishares Core S&p/asx 200
IPB.AX	Ipb Petroleum Limited
IPC.AX	Imperial Pacific Limited
IPD.AX	Impedimed Ltd
IPG.AX	Investa Property Group
IPH.AX	Ipoh
IPHKOA.AX	Iph Limited
IPHKOB.AX	Iph Limited
IPL.AX	Incitec Pivot Ltd
IPLKOA.AX	Incitec Pivot Limited
IPLKOB.AX	Incitec Pivot Limited
IPLKOD.AX	Incitec Pivot Limited
IPLKOE.AX	Incitec Pivot Limited
IPLKOF.AX	Incitec Pivot Limited
IPLKOG.AX	Incitec Pivot Limited
IPLKOH.AX	Incitec Pivot Limited
IPLKOP.AX	Incitec Pivot Limited
IPLKOQ.AX	Incitec Pivot Limited
IPLKOR.AX	Incitec Pivot Limited
IPLKOT.AX	Incitec Pivot Limited
IPLKOU.AX	Incitec Pivot Limited
IPT.AX	Impact Minerals Ltd
IPTO.AX	Impact Minerals Limited
IPX.AX	Intrapower Ltd
IR1.AX	Iris Metals Limited
IRD.AX	Iron Road Ltd
IRE.AX	IRESS Market Technology Ltd
IREKOA.AX	Iress Limited
IREKOB.AX	Iress Limited
IREKOQ.AX	Iress Limited
IREKOR.AX	Iress Limited
IRI.AX	Integrated Research Ltd
IRX.AX	Inhalerx Limited
IS3.AX	I Synergy Group Limited
ISEC.AX	Ishares Enhanced Cash
ISLM.AX	ISLM
ISO.AX	Ishares S&p/asx Small Ordinaries
ITEK.AX	ITEK
ITM.AX	Itech Minerals Ltd
IUSG.AX	IUSG
IVE.AX	Ishares Msci Eafe
IVR.AX	IVR
IVRO.AX	Investigator Resources Ltd
IVT.AX	Inventis Ltd
IVV.AX	Ishares Core S&p 500
IVX.AX	Invion Limited
IVZ.AX	Invictus Energy Ltd
IVZOA.AX	IVZOA
IXC.AX	Invex Therapeutics Ltd
IXI.AX	Ishares Global Consumer Staples
IXJ.AX	Ishares Global Healthcare
IXR.AX	IMX Resoures NL
IXU.AX	Ixup Limited
IZZ.AX	Ishares China Large-cap
JAL.AX	Jameson Resources Ltd
JAN.AX	Janison Education Group Limited
JAT.AX	
JAV.AX	Javelin Minerals Limited
JAVOA.AX	JAVOA
JAY.AX	Jayride Group Limited
JBH.AX	JB Hi-Fi Ltd
JBHKOA.AX	Jb Hi-fi Limited
JBHKOB.AX	Jb Hi-fi Limited
JBHKOC.AX	Jb Hi-fi Limited
JBHKOG.AX	Jb Hi-fi Limited
JBHKOR.AX	Jb Hi-fi Limited
JBHKOS.AX	Jb Hi-fi Limited
JBY.AX	James Bay Minerals Limited
JCS.AX	Jcurve Solutions Ltd
JDO.AX	Judo Capital Holdings Limited
JDOKOA.AX	JDOKOA
JDOPA.AX	JDOPA
JEGA.AX	JEGA
JGH.AX	Jade Gas Holdings Limited
JGLO.AX	JGLO
JHGA.AX	JHGA
JHLO.AX	JHLO
JHX.AX	James Hardie Industries NV (CUFS)
JHXKOA.AX	James Hardie Industries Se
JHXKOD.AX	James Hardie Industries Plc
JHXKOP.AX	James Hardie Industries Se
JHXKOQ.AX	James Hardie Industries Se
JHXKOR.AX	James Hardie Industries Se
JIN.AX	JIN
JLG.AX	Johns Lyng Group Limited
JLL.AX	Jindalee Lithium Limited
JLLO.AX	JLLO
JLLOA.AX	JLLOA
JMS.AX	Jupiter Mines Ltd
JNDQ.AX	JNDQ
JNO.AX	Juno Minerals Limited
JPEQ.AX	JPEQ
JPHQ.AX	JPHQ
JPR.AX	Jupiter Energy Ltd
JREG.AX	JREG
JRHG.AX	JRHG
JRV.AX	Jervois Mining Ltd
JYC.AX	Joyce Corporation Ltd
JZRO.AX	JZRO
K2F.AX	K2fly Limited
KAI.AX	Kairos Minerals Limited
KAL.AX	Kalgoorlie-Boulder Resources Ltd
KAM.AX	K2 Asset Management Holdings Ltd
KAR.AX	Karoon Gas Australia Ltd
KARKOC.AX	Karoon Gas Australia Limited
KARKOD.AX	Karoon Gas Australia Limited
KARKOE.AX	Karoon Gas Australia Limited
KARKOR.AX	Karoon Gas Australia Limited
KARKOU.AX	Karoon Gas Australia Limited
KARKOV.AX	Karoon Gas Australia Limited
KAT.AX	Katana Capital Ltd
KATO.AX	KATO
KAU.AX	Kaiser Reef Limited
KBC.AX	Keybridge Capital Ltd
KCC.AX	Kincora Copper Limited
KCN.AX	Kingsgate Consolidated Ltd
KDY.AX	Kaddy Limited
KEY.AX	Key Petroleum Ltd
KFM.AX	Kingfisher Mining Ltd
KFMO.AX	KFMO
KGD.AX	Kula Gold Limited
KGL.AX	Kentor Gold Ltd
KGN.AX	Kogan.com Ltd
KKC.AX	Kkr Credit Income Fund
KKO.AX	Kinetiko Energy Ltd
KLI.AX	Killi Resources Limited
KLR.AX	Kaili Resources Limited
KLS.AX	Kanowna Lights Nl
KM1.AX	Kali Metals Limited
KMD.AX	Kathmandu Holdings Limited
KME.AX	Kip McGrath Education Centres
KNB.AX	Koonenberry Gold Limited
KNBO.AX	KNBO
KNG.AX	Kingsland Minerals Ltd
KNGO.AX	KNGO
KNI.AX	Kuniko Limited
KNM.AX	Kneomedia Limited
KNO.AX	Knosys Limited
KOB.AX	Koba Resources Limited
KOR.AX	Korab Resources Ltd
KOV.AX	Korvest Ltd
KP2.AX	Kore Potash Plc
KPG.AX	Kelly Partners Group Holdings Limited
KPO.AX	Kalina Power Limited
KRM.AX	Kingsrose Mining Ltd
KRR.AX	King River Resources Limited
KSC.AX	K&S Corporation Ltd
KSL.AX	Kina Securities Limited
KSM.AX	Kingstream Steel
KSN.AX	Kingston Resources Limited
KTA.AX	Krakatoa Resources Limited
KYP.AX	Kinatico Ltd
KZR.AX	Kalamazoo Resources Limited
L1IF.AX	L1IF
L1M.AX	Lightning Minerals Ltd
L1MO.AX	L1MO
LAM.AX	Laramide Resources Ltd
LAT.AX	Latin Gold Ltd
LAU.AX	Lindsay Australia Ltd
LAW.AX	Lawfinance Limited
LBL.AX	Laserbond Ltd
LBT.AX	Labtech Systems Ltd
LBTOA.AX	Labtech Systems Ltd
LCE.AX	London City Equities Ltd
LCL.AX	Lighting Corporation Ltd
LCLO.AX	LCLO
LCY.AX	Legacy Iron Ore Ltd
LDR.AX	Lach Drummond Resources Ltd
LDX.AX	Lumos Diagnostics Holdings Limited
LEG.AX	Legend Mining Ltd
LEL.AX	Lion Equities
LEX.AX	Lefroy Exploration Limited
LFG.AX	Liberty Financial Group
LFS.AX	Latitude Group Holdings Limited
LFSPA.AX	LFSPA
LGI.AX	Lgi Limited
LGL.AX	Lihir Gold Ltd
LGM.AX	Luiri Gold Limited
LGMO.AX	LGMO
LGP.AX	Little Green Pharma Ltd
LHM.AX	Land & Homes Group Limited
LIC.AX	Lifestyles Communities Ltd
LICKOA.AX	LICKOA
LICKOB.AX	LICKOB
LICKOC.AX	LICKOC
LIN.AX	Lindian Resources Ltd
LIO.AX	Lion Energy Ltd
LIS.AX	Li-s Energy Limited
LIT.AX	Lithium Australia Nl
LITOA.AX	LITOA
LITOB.AX	Lithium Australia Limited
LKE.AX	Lake Resources NL
LKY.AX	Locksley Resources Limited
LLC.AX	Lend Lease Corporation Ltd
LLCKOA.AX	Lend Lease Group
LLCKOB.AX	Lend Lease Group
LLCKOC.AX	Lend Lease Group
LLCKOR.AX	Lend Lease Group
LLCKOS.AX	Lend Lease Group
LLCKOV.AX	Lend Lease Group
LLI.AX	Loyal Lithium Limited
LLL.AX	Leo Lithium Limited
LM1.AX	Leeuwin Metals Ltd
LM8.AX	Lunnon Metals Limited
LMG.AX	Latrobe Magnesium Ltd
LML.AX	Lincoln Minerals Ltd
LMS.AX	Litchfield Minerals Limited
LNR.AX	Lonestar Resources Limited
LNRO.AX	Lanthanein Resources Ltd
LNU.AX	Linius Technologies Limited
LNW.AX	Light & Wonder Inc.
LNYN.AX	LNYN
LOM.AX	Lonrho Mining Ltd
LOT.AX	Lotus Resources Limited
LOV.AX	Lovisa Holdings Limited
LOVKOC.AX	Lovisa Holdings Limited
LOVKOD.AX	LOVKOD
LOVKOQ.AX	LOVKOQ
LOVKOR.AX	LOVKOR
LPD.AX	Lepidico Ltd
LPDO.AX	Lepidico Ltd
LPDOE.AX	LPDOE
LPE.AX	Locality Planning Energy Holdings Ltd
LPM.AX	Loop Mobile Ltd
LRD.AX	Lord Resources Limited
LRDO.AX	Lord Resources Limited
LRK.AX	Lark Distilling Co. Ltd
LRL.AX	Leyshon Resources Ltd
LRS.AX	Latin Resources Limited
LRT.AX	Lowell Resources Fund
LRV.AX	Larvotto Resources Limited
LRVO.AX	LRVO
LSA.AX	Lachlan Star Ltd
LSF.AX	L1 Long Short Fund Limited
LSR.AX	Lodestar Minerals Ltd
LSX.AX	Lion Selection Group Limited.
LTM.AX	Arcadium Lithium Plc
LTP.AX	Ltr Pharma Limited
LTR.AX	Liontown Resources Ltd
LTRKOP.AX	LTRKOP
LTRKOQ.AX	LTRKOQ
LTRKOR.AX	LTRKOR
LU7.AX	Lithium Universe Limited
LU7O.AX	LU7O
LV1.AX	Live Verdure Ltd
LV1OA.AX	LV1OA
LVE.AX	Love Group Global Ltd
LVH.AX	Livehire Limited
LYC.AX	Lynas Corporation Ltd
LYCKOA.AX	Lynas Corporation Limited
LYCKOB.AX	Lynas Corporation Limited
LYCKOC.AX	Lynas Corporation Limited
LYCKOD.AX	Lynas Corporation Limited
LYCKOP.AX	Lynas Corporation Limited
LYCKOQ.AX	Lynas Corporation Limited
LYCKOS.AX	Lynas Corporation Limited
LYCKOT.AX	Lynas Corporation Limited
LYCKOU.AX	Lynas Corporation Limited
LYCKOV.AX	Lynas Corporation Limited
LYK.AX	Lykos Metals Limited
LYKOA.AX	LYKOA
LYL.AX	Lycopodium Ltd
LYN.AX	Lycaon Resources Ltd
M24.AX	Mamba Exploration Limited
M2M.AX	Mt Malcolm Mines Nl
M2MO.AX	M2MO
M2R.AX	Miramar Resources Limited
M2ROA.AX	M2ROA
M3M.AX	M3 Mining Limited
M4M.AX	Macro Metals Limited
M4MOB.AX	M4MOB
M7T.AX	Mach7 Technologies Limited
M8S.AX	M8 Sustainable Limited
MAC.AX	Macro Corporation Ltd
MAD.AX	Maverick Drilling And Exploration Limited
MAET.AX	MAET
MAF.AX	Ma Financial Group Limited
MAG.AX	Magellan Petroleum Australia Ltd
MAH.AX	Macmahon Holdings Ltd
MAM.AX	Aii S&p/asx 300 Metals & Mining
MAN.AX	Magna Mining Ltd
MAP.AX	Macquarie Airports
MAQ.AX	Macquarie Telecom Group Ltd
MAT.AX	Matine Ltd t/over
MAU.AX	Magnetic Resources NL
MAUCA.AX	Magnetic Resources Nl
MAY.AX	Mayne Group Ltd
MBH.AX	Maggie Beer Holdings Ltd
MBK.AX	Metal Bank Limited
MBLPC.AX	MBLPC
MBLPD.AX	MBLPD
MBX.AX	mBox.com
MCA.AX	Medica Holdings
MCCL.AX	MCCL
MCE.AX	Matrix Composites & Engineering Limited
MCGG.AX	MCGG
MCM.AX	Mc Mining Limited
MCP.AX	McPhersons Ltd
MCY.AX	Mighty River Power Limited.
MDC.AX	McConnell Dowell Corporation
MDI.AX	Middle Island Resources Limited
MDR.AX	Medadvisor Limited
MDX.AX	Mindax Ltd
ME1.AX	Melodiol Global Health Limited
ME1O.AX	ME1O
ME1OD.AX	ME1OD
ME1OE.AX	ME1OE
MEC.AX	Morphic Ethical Equities Fund Limited
MEG.AX	MCM Entertainment Group Ltd
MEI.AX	Meteoric Resources NL
MEK.AX	Meeka Gold Limited
MEL.AX	Metgasco Ltd
MELOB.AX	MELOB
MEM.AX	Memphasys Limited.
MEU.AX	Maramota Energy Ltd
MEZ.AX	Meridian Energy Limited
MFD.AX	Mayfield Childcare Limited
MFF.AX	Magellan Flagship Fund Ltd
MFG.AX	Magellan Financial Group
MFGKOA.AX	Magellan Financial Group Limited
MFGKOB.AX	Magellan Financial Group Limited
MFGKOC.AX	Magellan Financial Group Limited
MFGKOP.AX	Magellan Financial Group Limited
MFGKOQ.AX	Magellan Financial Group Limited
MFGKOR.AX	Magellan Financial Group Limited
MFGO.AX	MFGO
MFOA.AX	MFOA
MGA.AX	Metalsgrove Mining Ltd
MGAO.AX	MGAO
MGH.AX	Maas Group Holdings Limited
MGL.AX	Magontec Limited
MGOC.AX	MGOC
MGR.AX	Mirvac Group
MGRKOB.AX	Mirvac Group
MGRKOC.AX	Mirvac Group
MGRKOE.AX	MGRKOE
MGRKOP.AX	Mirvac Group
MGRKOQ.AX	Mirvac Group
MGRKOR.AX	Mirvac Group
MGT.AX	Magnetite Mines Limited.
MGTO.AX	MGTO
MGTOA.AX	MGTOA
MGU.AX	Magnum Gold NL
MGUO.AX	Magnum Mining And Exploration Limited
MGX.AX	Mount Gibson Iron Ltd
MGXKOJ.AX	Mount Gibson Iron Limited
MHC.AX	Manhattan Corporation Limited
MHG.AX	Magellan Global Equities Fund (currency Hedged)
MHHT.AX	MHHT
MHI.AX	Merchant House International Ltd
MHJ.AX	Michael Hill International Limited
MHK.AX	Metal Hawk Limited.
MHOT.AX	MHOT
MI6.AX	Minerals 260 Limited
MICH.AX	MICH
MIN.AX	Mineral Resources Ltd
MINKOX.AX	Mineral Resources Limited
MIO.AX	Miclyn Express Offshore Limited
MIOO.AX	MIOO
MIR.AX	Mirrabooka Investments Ltd
MKG.AX	Mako Gold Limited
MKL.AX	Mighty Kingdom Limited
MKR.AX	Manuka Resources Ltd.
MKT.AX	The Market Limited
MLG.AX	Mlg Oz Limited
MLS.AX	Metals Australia Ltd
MLX.AX	Metals X Ltd
MM1.AX	Midas Minerals Ltd
MM8.AX	Medallion Metals Limited.
MMA.AX	MMC Contrarian Ltd
MME.AX	MTM Entertainment Trust
MMI.AX	Metro Mining Limited
MMKT.AX	MMKT
MMR.AX	Mec Resources Ltd
MMS.AX	McMillan Shakespeare Ltd
MMSKOB.AX	Mcmillan Shakespeare Limited
MMSKOC.AX	Mcmillan Shakespeare Limited
MNB.AX	Minbos Resources Limited
MNBOB.AX	MNBOB
MND.AX	Monadelphous Group Ltd
MNDKOA.AX	Monadelphous Group Limited
MNDKOC.AX	Monadelphous Group Limited
MNDKOP.AX	Monadelphous Group Limited
MNDKOQ.AX	Monadelphous Group Limited
MNDKOT.AX	Monadelphous Group Limited
MNS.AX	Milnes Holdings
MOAT.AX	Vaneck Vectors Morningstar Wide?moat
MOGL.AX	MOGL
MOH.AX	Moho Resources Limited
MOM.AX	Moab Minerals Limited
MOT.AX	Motopia Limited
MOV.AX	Moore Australasia (holdings) Limited
MOZ.AX	Mozambi Coal Limited
MOZG.AX	MOZG
MP1.AX	Megaport Limited
MP1KOB.AX	MP1KOB
MP1KOG.AX	MP1KOG
MP1KOP.AX	MP1KOP
MPA.AX	Marine Produce Australia Ltd
MPK.AX	Many Peaks Minerals Ltd
MPL.AX	Medibank Private Limited
MPLKOE.AX	Medibank Private Limited
MPLKOP.AX	Medibank Private Limited
MPLKOS.AX	Medibank Private Limited
MPP.AX	Metro Performance Glass Limited
MPR.AX	Macquarie ProLogis Trust
MPRO.AX	Mpower Group Limited
MPX.AX	Mustera Property Group Limited
MQDB.AX	MQDB
MQEG.AX	MQEG
MQG.AX	Macquarie Group Ltd
MQGKOA.AX	Macquarie Group Limited
MQGKOB.AX	Macquarie Group Limited
MQGKOC.AX	Macquarie Group Limited
MQGKOD.AX	Macquarie Group Limited
MQGKOE.AX	Macquarie Group Limited
MQGKOG.AX	Macquarie Group Limited
MQGKOI.AX	Macquarie Group Limited
MQGKOJ.AX	Macquarie Group Limited
MQGKOK.AX	Macquarie Group Limited
MQGKOP.AX	Macquarie Group Limited
MQGKOQ.AX	Macquarie Group Limited
MQGKOS.AX	Macquarie Group Limited
MQGKOT.AX	Macquarie Group Limited
MQGKOZ.AX	Macquarie Group Limited
MQGMOA.AX	Macquarie Group Limited
MQGMOQ.AX	Macquarie Group Limited
MQGPC.AX	Macquarie Group Limited
MQGPD.AX	Macquarie Group Limited
MQGPE.AX	MQGPE
MQGPF.AX	Macquarie Group Limited
MQGPG.AX	MQGPG
MQIO.AX	MQIO
MQR.AX	Marquee Resources Limited
MRC.AX	Mineral Commodities Ltd
MRD.AX	Mount Ridley Mines Limited
MRE.AX	Minara Resources Ltd
MRI.AX	MRI Holdings Ltd
MRL.AX	Miller's Retail Ltd
MRQ.AX	Mrg Metals Limited
MRQO.AX	Mrg Metals Limited
MRR.AX	Minrex Resources Nl
MRZ.AX	Mirvac Real Estate Investment Trust
MSB.AX	Mesoblast Ltd
MSG.AX	Mcs Services Limited
MSI.AX	Multistack International Ltd
MSTR.AX	MSTR
MSV.AX	Mitchell Services Limited
MTB.AX	Mount Burgess Mining NL
MTC.AX	Metalstech Limited
MTH.AX	Mithril Resources Ltd
MTHO.AX	Mithril Resources Limited
MTL.AX	Manalto Limited
MTM.AX	Mareterram Limited
MTMO.AX	MTMO
MTO.AX	Moto Goldmines Ltd
MTS.AX	Metcash Ltd
MTSKOA.AX	Metcash Limited
MTSKOB.AX	Metcash Limited
MTSKOE.AX	Metcash Limited
MTSKOP.AX	Metcash Limited
MTSKOQ.AX	Metcash Limited
MTSKOR.AX	Metcash Limited
MTUM.AX	MTUM
MVA.AX	Vaneck Vectors Australian?property
MVB.AX	Vaneck Vectors Australian Banks
MVE.AX	Vaneck Vectors S&p/asx Midcap
MVF.AX	Monash Ivf Group Limited
MVL.AX	Microview Ltd
MVOL.AX	Ishares Edge Msci Australia Minimum Volatility
MVP.AX	Medical Developments International
MVR.AX	Vaneck Vectors Australian Resources
MVS.AX	Vaneck Vectors Small Cap Dividend?payers
MVW.AX	Vaneck Vectors Australian Equal Weight
MWY.AX	Midway Limited
MX1.AX	Micro-x Limited
MXI.AX	MaxiTRA Industries Ltd
MXO.AX	Matrix Oil
MXR.AX	Maximus Resources Ltd
MXT.AX	Mcp Master Income Trust
MYE.AX	Mastermyne Group Limited
MYG.AX	Mutiny Gold Ltd
MYR.AX	Myer Holdings Limited
MYS.AX	Mystate Limited
MYX.AX	MYX
N1H.AX	N1 Holdings Limited
NAB.AX	National Australia Bank Ltd
NABKOA.AX	National Australia Bank Limited
NABKOB.AX	National Australia Bank Limited
NABKOC.AX	National Australia Bank Limited
NABKOD.AX	National Australia Bank Limited
NABKOG.AX	National Australia Bank Limited
NABKOH.AX	National Australia Bank Limited
NABKOJ.AX	National Australia Bank Limited
NABKOK.AX	National Australia Bank Limited
NABKOL.AX	National Australia Bank Limited
NABKOP.AX	National Australia Bank Limited
NABKOQ.AX	National Australia Bank Limited
NABKOR.AX	National Australia Bank Limited
NABKOU.AX	National Australia Bank Limited
NABKOV.AX	National Australia Bank Limited
NABKOW.AX	National Australia Bank Limited
NABPF.AX	National Australia Bank Limited
NABPH.AX	NABPH
NABPI.AX	National Australia Bank Limited
NABPJ.AX	NABPJ
NABPK.AX	NABPK
NAC.AX	Naos Absolute Opportunities Company Limited
NACGA.AX	NACGA
NACO.AX	Naos Absolute Opportunities Company Limited
NAE.AX	New Age Exploration Ltd
NAG.AX	
NAGO.AX	NAGO
NAM.AX	Namoi Cotton Co-operative Ltd
NAN.AX	Nanosonics Ltd
NANKOA.AX	Nanosonics Limited
NANKOB.AX	Nanosonics Limited
NANKOR.AX	NANKOR
NC1.AX	Nico Resources Limited
NC6.AX	Nanollose Limited
NC6OB.AX	NC6OB
NCC.AX	Naos Emerging Opportunities Company Limited
NCCGA.AX	NCCGA
NCCO.AX	Naos Emerging Opportunities Company Limited
NCK.AX	Nick Scali Ltd
NCR.AX	Nucoal Resources Nl
NDIA.AX	NDIA
NDO.AX	Nido Petroleum Ltd
NDQ.AX	Betashares Nasdaq 100
NDXKOE.AX	NDXKOE
NDXKON.AX	NDXKON
NEC.AX	Nine Entertainment Co Holdings Ltd
NECKOA.AX	Nine Entertainment Co. Holdings Limited
NECKOB.AX	Nine Entertainment Co. Holdings Limited
NECKOP.AX	Nine Entertainment Co. Holdings Limited
NECKOS.AX	Nine Entertainment Co. Holdings Limited
NEM.AX	Newmont Mining Corporation (US CUFS)
NES.AX	Nelson Resources Limited.
NET.AX	Netlinkz Limited
NEU.AX	Neuren Pharmaceuticals Ltd
NEUKOB.AX	NEUKOB
NEUKOC.AX	NEUKOC
NFL.AX	Natural Fuel Ltd
NFLO.AX	NFLO
NFNG.AX	NFNG
NGE.AX	New Guinea Energy Ltd
NGI.AX	Navigator Global Investments Limited
NGS.AX	Nutritional Growth Solutions Ltd
NGX.AX	Norseman Gold Plc
NGY.AX	Nuenergy Capital Ltd
NHC.AX	New Hope Corporation Ltd
NHCKOA.AX	New Hope Corporation Limited
NHCKOB.AX	New Hope Corporation Limited
NHCKOP.AX	New Hope Corporation Limited
NHCKOQ.AX	New Hope Corporation Limited
NHCKOR.AX	New Hope Corporation Limited
NHE.AX	New Horizon Energy Ltd
NHEO.AX	Noble Helium Limited
NHEOA.AX	NHEOA
NHF.AX	Nib Holdings Ltd
